,id,nome,siglaPartido,siglaUf,despesas
209,220702,Geraldo Mendes,UNIÃO,PR,6613.619999999999
96,98148,Cobalchini,MDB,SC,6531.68
404,220685,Paulo Litro,PSD,PR,6456.820000000001
4,204560,Adolfo Viana,PSDB,BA,6427.18
477,178947,Sóstenes Cavalcante,PL,RJ,6367.89
40,220676,Andreia Siqueira,MDB,PA,6345.759999999999
189,160666,Félix Mendonça Júnior,PDT,BA,6306.61
401,160517,Paulo Foletto,PSB,ES,6276.709999999999
88,204504,Cezinha de Madureira,PSD,SP,6276.339999999999
353,204566,Marreca Filho,PATRIOTA,MA,6186.44
239,220563,Icaro de Valmir,PL,SE,6160.210000000001
504,220564,Yandra Moura,UNIÃO,SE,6152.4
20,220542,Alexandre Guimarães,REPUBLICANOS,TO,6138.450000000001
225,198197,Greyce Elias,AVANTE,MG,6129.5199999999995
507,160632,Zé Silva,SOLIDARIEDADE,MG,6100.53
139,220691,Diego Coronel,PSD,BA,6034.560000000001
372,220617,Murillo Gouvea,UNIÃO,RJ,5996.89
267,204391,José Nelto,PP,GO,5494.05
10,160527,Aguinaldo Ribeiro,PP,PB,5383.89
414,204524,Pinheirinho,PP,MG,5378.380000000001
415,73486,Pompeo de Mattos,PDT,RS,5362.6
290,98057,Lafayette de Andrada,REPUBLICANOS,MG,5357.24
454,73806,Roseana Sarney,MDB,MA,5240.11
35,220632,Ana Pimentel,PT,MG,5238.989999999999
144,220602,Dimas Gadelha,PT,RJ,5150.46
21,160545,Alexandre Leite,UNIÃO,SP,5102.380000000001
97,220594,Coronel Assis,UNIÃO,MT,5095.0599999999995
65,204388,Bibo Nunes,PL,RS,5075.1
86,206018,Célia Xakriabá,PSOL,MG,5062.02
175,160575,Erika Kokay,PT,DF,5019.700000000001
8,136811,Afonso Hamm,PP,RS,5005.48
501,74043,Wellington Roberto,PL,PB,4895.33
15,220538,Albuquerque,REPUBLICANOS,RR,4852.45
206,204473,General Girão,PL,RN,4809.070000000001
345,178943,Marcos Soares,UNIÃO,RJ,4799.18
217,204365,Gilson Marques,NOVO,SC,4712.72
39,204515,André Janones,AVANTE,MG,4707.29
45,220675,Antônio Doido,MDB,PA,4682.57
407,220667,Pedro Campos,PSB,PE,4663.46
490,74376,Vander Loubet,PT,MS,4660.9400000000005
254,141458,João Carlos Bacelar,PL,BA,4630.4
170,218086,Ely Santos,REPUBLICANOS,SP,4628.55
433,73801,Renildo Calheiros,PCdoB,PE,4557.200000000001
247,220670,Iza Arruda,MDB,PE,4519.92
12,204549,AJ Albuquerque,PP,CE,4492.67
81,204426,Carlos Veras,PT,PE,4482.09
171,198783,Emanuel Pinheiro Neto,MDB,MT,4453.6
187,72442,Felipe Carreras,PSB,PE,4431.700000000001
91,204462,Chris Tonietto,PL,RJ,4393.049999999999
68,220635,Bruno Ganem,PODE,SP,4388.19
63,220683,Beto Richa,PSDB,PR,4377.179999999999
268,74079,José Priante,MDB,PA,4366.86
48,141391,Arnaldo Jardim,CIDADANIA,SP,4302.5599999999995
388,220706,Padovani,UNIÃO,PR,4292.67
451,204525,Rosana Valle,PL,SP,4282.5599999999995
192,141431,Fernando Coelho Filho,UNIÃO,PE,4275.700000000001
82,141398,Carlos Zarattini,PT,SP,4252.410000000001
389,160556,Padre João,PT,MG,4246.73
120,116379,Darci de Matos,PSD,SC,4245.03
182,204368,Fabio Schiochet,UNIÃO,SC,4236.66
208,178966,Geovania de Sá,PSDB,SC,4193.610000000001
57,178975,Baleia Rossi,MDB,SP,4188.26
425,204567,Raimundo Costa,PODE,BA,4180.639999999999
374,204453,Natália Bonavides,PT,RN,4180.629999999999
5,204528,Adriana Ventura,NOVO,SP,4169.6
306,103758,Luciano Azevedo,PSD,RS,4145.46
